Pub Beer;American Pale Lager;5.0
Devil's Cup;American Pale Ale (APA);6.6000000000000005
Rise of the Phoenix;American IPA;7.1
Sinister;American Double / Imperial IPA;9.0
Sex and Candy;American IPA;7.5
Black Exodus;Oatmeal Stout;7.7
Lake Street Express;American Pale Ale (APA);4.5
Foreman;American Porter;6.5
Jade;American Pale Ale (APA);5.5
Cone Crusher;American Double / Imperial IPA;8.6
Sophomoric Saison;Saison / Farmhouse Ale;7.200000000000001
Regional Ring Of Fire;Saison / Farmhouse Ale;7.3
Garce Selé;Saison / Farmhouse Ale;6.9
Troll Destroyer;Belgian IPA;8.5
Bitter Bitch;American Pale Ale (APA);6.1
Ginja Ninja;Cider;6.0
Cherried Away;Cider;6.0
Rhubarbarian;Cider;6.0
BrightCider;Cider;6.0
He Said Baltic-Style Porter;Baltic Porter;8.2
He Said Belgian-Style Tripel;Tripel;8.2
Lower De Boom;American Barleywine;9.9
Fireside Chat;Winter Warmer;7.9
Marooned On Hog Island;American Stout;7.9
Bitter American;American Pale Ale (APA);4.4
Hell or High Watermelon Wheat (2009);Fruit / Vegetable Beer;4.9
Hell or High Watermelon Wheat (2009);Fruit / Vegetable Beer;4.9
21st Amendment Watermelon Wheat Beer (2006);Fruit / Vegetable Beer;4.9
21st Amendment IPA (2006);American IPA;7.000000000000001
Brew Free! or Die IPA (2008);American IPA;7.000000000000001
Brew Free! or Die IPA (2009);American IPA;7.000000000000001
Special Edition: Allies Win The War!;English Strong Ale;8.5
Hop Crisis;American Double / Imperial IPA;9.7
Bitter American (2011);American Pale Ale (APA);4.4
Fireside Chat (2010);Winter Warmer;7.9
Back in Black;American Black Ale;6.800000000000001
Monk's Blood;Belgian Dark Ale;8.3
Brew Free! or Die IPA;American IPA;7.000000000000001
Hell or High Watermelon Wheat;Fruit / Vegetable Beer;4.9
Bimini Twist;American IPA;7.000000000000001
Beach Blonde;American Blonde Ale;5.0
Rod Bender Red;American Amber / Red Ale;5.9
Passion Fruit Prussia;Berliner Weissbier;3.5000000000000004
Send Help;American Blonde Ale;4.5
Cast Iron Oatmeal Brown;American Brown Ale;5.5
Reprise Centennial Red;American Amber / Red Ale;6.0
Alter Ego;American Black Ale;5.5
Divided Sky;American IPA;6.5
Resurrected;American IPA;6.5
Contact High;American Pale Wheat Ale;5.0
Galaxyfest;American IPA;6.5
Citrafest;American IPA;5.0
Barn Yeti;Belgian Strong Dark Ale;9.0
Scarecrow;American IPA;6.9
Ironman;English Strong Ale;9.0
Honey Kolsch;Kölsch;4.6
Copperhead Amber;Belgian Dark Ale;5.2
Rude Parrot IPA;American IPA;5.9
British Pale Ale (2010);English Pale Ale;5.4
British Pale Ale;English Pale Ale;5.4
Ballz Deep Double IPA;American Double / Imperial IPA;8.4
Wolfman's Berliner;Berliner Weissbier;3.8
Colorado Native;American Amber / Red Lager;5.5
Colorado Native (2011);American Amber / Red Lager;5.5
Jockamo IPA;American IPA;6.5
Purple Haze;Fruit / Vegetable Beer;4.2
Abita Amber;American Amber / Red Lager;4.5
Citra Ass Down;American IPA;8.2
The Brown Note;American Brown Ale;5.0
Citra Ass Down;American Double / Imperial IPA;8.0
London Balling;English Barleywine;12.5
35 K;Milk / Sweet Stout;7.7
A Beer;American Pale Ale (APA);4.2
Rules are Rules;German Pilsener;5.0
Flesh Gourd'n;Pumpkin Ale;6.6000000000000005
Sho'nuff;Belgian Pale Ale;4.0
Bloody Show;American Pilsner;5.5
Rico Sauvin;American Double / Imperial IPA;7.6
Coq de la Marche;Saison / Farmhouse Ale;5.1
Kamen Knuddeln;American Wild Ale;6.5
Pile of Face;American IPA;6.0
The Brown Note;English Brown Ale;5.0
Maylani's Coconut Stout;American Stout;5.3
Oatmeal PSA;American Pale Ale (APA);5.0
Pre Flight Pilsner;American Pilsner;5.2
P-Town Pilsner;American Pilsner;4.0
Klickitat Pale Ale;American Pale Ale (APA);5.3
Yellow Wolf Imperial IPA;American Double / Imperial IPA;8.2
Freeride APA;American Pale Ale (APA);5.3
Alaskan Amber;Altbier;5.3
Hopalicious;American Pale Ale (APA);5.7
Kentucky Kölsch;Kölsch;4.3
Kentucky IPA;American IPA;6.5
Dusty Trail Pale Ale;American Pale Ale (APA);5.4
Damnesia;American IPA;6.2
Desolation IPA;American IPA;6.2
Liberty Ale;American IPA;5.9
IPA;American IPA;6.5
Summer Wheat;American Pale Wheat Ale;4.5
California Lager;American Amber / Red Lager;4.9
Brotherhood Steam;California Common / Steam Beer;5.6
Blood Orange Gose;Gose;4.2
Keebarlin' Pale Ale;American Pale Ale (APA);4.2
"the Kimmie; the Yink and the Holy Gose",Gose;4.8
Fall Hornin';Pumpkin Ale;6.0
Barney Flats Oatmeal Stout;Oatmeal Stout;5.7
Summer Solstice;Cream Ale;5.6
Hop Ottin' IPA;American IPA;7.000000000000001
Boont Amber Ale;American Amber / Red Ale;5.8
Barney Flats Oatmeal Stout;Oatmeal Stout;5.7
El Steinber Dark Lager;Vienna Lager;5.5
Boont Amber Ale (2010);American Amber / Red Ale;5.8
Summer Solstice Cerveza Crema (2009);Cream Ale;5.6
Barney Flats Oatmeal Stout (2012);Oatmeal Stout;5.7
Winter Solstice;Winter Warmer;6.9
Hop Ottin' IPA (2011);American IPA;7.000000000000001
Boont Amber Ale (2011);American Amber / Red Ale;5.8
Summer Solstice (2011);Cream Ale;5.6
Poleeko Gold Pale Ale (2009);American Pale Ale (APA);5.5
Charlie's Rye IPA;American IPA;6.0
River Pig Pale Ale;American Pale Ale (APA);5.4
Oaky's Oatmeal Stout;Oatmeal Stout;4.7
Angry Orchard Apple Ginger;Cider;5.0
Angry Orchard Crisp Apple;Cider;5.0
Angry Orchard Crisp Apple;Cider;5.0
Golden One;Belgian Pale Ale;6.800000000000001
Arjuna;Witbier;6.0
Uroboros;American Stout;8.5
Long Leaf;American IPA;7.1
Honey Badger Blonde;American Blonde Ale;4.7
Porter (a/k/a Black Gold Porter);American Porter;6.0
Sky High Rye;American Pale Ale (APA);6.0
Whitsun;American Pale Wheat Ale;6.2
On-On Ale (2008);American Pale Ale (APA);5.2
Quakertown Stout;American Double / Imperial Stout;9.2
Greenbelt Farmhouse Ale;Saison / Farmhouse Ale;5.1
Mo's Gose;Gose;5.2
Green Bullet Organic India Pale Ale;American IPA;7.000000000000001
Rocket Girl;Kölsch;3.2
Ninja Porter;American Porter;5.3
Shiva IPA;American IPA;6.0
Aslan Kölsch;Kölsch;4.8
Aslan IPA;American IPA;7.7
Aslan Amber;American Amber / Red Ale;7.7
This Season's Blonde;American Blonde Ale;5.6
Independence Pass Ale;American IPA;7.000000000000001
Trolley Stop Stout;American Stout;5.7
Bitter Bitch Imperial IPA;American Double / Imperial IPA;8.2
Poop Deck Porter;American Porter;6.2
Old Red Beard Amber Ale;American Amber / Red Ale;6.0
Hop A-Peel;American Double / Imperial IPA;7.5
Vanilla Java Porter;American Porter;5.5
Michelada;Fruit / Vegetable Beer;5.2
Dirty Blonde Ale;American Blonde Ale;4.5
Grand Circus IPA;American IPA;5.0
Atwater's Lager;Munich Helles Lager;5.0
"Heavy Machinery IPA Series #1: Heavy Fist";American Black Ale;7.000000000000001
Fire Eagle IPA;American IPA;6.2
Peacemaker;American Pale Ale (APA);5.1
Pearl-Snap;German Pilsener;5.3
Black Thunder;Schwarzbier;5.2
Raja;American Double / Imperial IPA;8.0
Perzik Saison;Saison / Farmhouse Ale;6.4
Avery Joe’s Premium American Pilsner;German Pilsener;4.7
White Rascal;Witbier;5.6
Avery India Pale Ale;American IPA;6.3
